predict,p1,p2,p3,p4,p5,p6,p7,School Name,Year of Tour,W-L%,SRS,SOS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,Round Reached,Region
4,0.038366735,0.148044201,0.24457286,0.417080253,0.076052187,0.060792277,0.015091487,Duke,2018-'19,0.842,26.9,11.98,1157,2418,0.478,278,903,0.308,551,803,0.686,495,1567,606,346,257,4,East
3,0.046604436,0.110844587,0.405426531,0.036649097,0.317839244,0.014384063,0.068252042,Michigan State,2018-'19,0.821,24.93,12.34,1071,2230,0.48,319,844,0.378,564,749,0.753,414,1579,715,201,205,5,East
3,0.128215297,0.200499716,0.468642186,0.165586926,0.006574304,0.022741986,0.007739584,LSU,2018-'19,0.8,16.5,9.16,988,2162,0.457,236,740,0.319,603,802,0.752,460,1355,452,308,148,3,East
2,0.334511655,0.420076286,0.197067918,0.023542195,0.010348863,0.003954742,0.010498341,Maryland,2018-'19,0.676,16.01,10.09,858,1909,0.449,247,707,0.349,466,627,0.743,378,1336,447,148,163,2,East
2,0.348931142,0.446514684,0.080990255,0.078156064,0.019733068,0.007632121,0.018042665,Minnesota,2018-'19,0.611,12.52,11.27,887,2039,0.435,191,603,0.317,578,848,0.682,402,1314,523,175,140,2,East
1,0.419708528,0.200875787,0.158357823,0.103981403,0.029541962,0.025591319,0.061943178,Virginia Tech,2018-'19,0.743,19.28,7.79,893,1900,0.47,327,831,0.394,461,606,0.761,310,1142,531,236,78,3,East
1,0.821720671,0.099664418,0.028096634,0.02402762,0.003341803,0.006274377,0.016874477,Liberty,2018-'19,0.806,5.27,-3.88,963,1977,0.487,322,873,0.369,406,524,0.775,270,1174,532,223,96,2,East
1,0.832438451,0.111976277,0.027726214,0.01538407,0.003746973,0.006361629,0.002366386,UCF,2018-'19,0.727,13.37,5.58,819,1763,0.465,229,628,0.365,518,798,0.649,315,1215,439,189,150,2,East
1,0.695536603,0.16094648,0.044938502,0.033586324,0.035640545,0.014712172,0.014639374,Belmont,2018-'19,0.818,9.12,-2.6,1042,2094,0.498,343,922,0.372,441,598,0.737,286,1275,645,220,125,1,East
1,0.936168181,0.049567164,0.006047814,0.002136645,0.002259324,0.002788552,0.001032321,Bradley,2018-'19,0.571,-0.08,-0.9,812,1874,0.433,240,653,0.368,465,672,0.692,313,1195,423,186,132,1,East
