predict,p1,p2,p3,p4,p5,p6,p7,School Name,Year of Tour,W-L%,SRS,SOS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,Round Reached,Region
1,0.543539614,0.320373933,0.078291063,0.01038868,0.011369588,0.013139883,0.022897239,Louisville,2018-'19,0.588,17.28,11.04,854,1967,0.434,294,860,0.342,534,687,0.777,345,1297,458,149,99,1,East
1,0.556293008,0.298936032,0.061352397,0.029267025,0.034098358,0.01590746,0.004145719,Mississippi State,2018-'19,0.676,15.96,9.07,936,1982,0.472,292,774,0.377,464,647,0.717,393,1215,481,274,172,1,East
1,0.921140486,0.053487977,0.012907939,0.003139846,0.00168369,0.002743789,0.004896273,North Dakota State,2018-'19,0.543,-4.01,-2.07,874,1926,0.454,332,910,0.365,476,613,0.777,229,1105,402,160,87,1,East
1,0.760120214,0.139101888,0.029012783,0.05502823,0.005770791,0.008496344,0.00246975,Saint Louis,2018-'19,0.639,5.06,2.23,855,2052,0.417,205,675,0.304,484,809,0.598,492,1428,460,254,145,1,East
1,0.758488888,0.190020399,0.018352206,0.014029738,0.004094834,0.013077439,0.001936496,VCU,2018-'19,820,1872,0.438,820,1872,0.438,235,771,0.305,469,669,0.701,358,1208,450,263,148,1,East
1,0.881556521,0.072125814,0.02273556,0.011310755,0.004199635,0.005189293,0.002882421,Yale,2018-'19,0.733,5.52,-1.24,893,1812,0.493,230,634,0.363,411,557,0.738,259,1157,503,177,131,1,East
5,0.030265868,0.120957516,0.267719417,0.194571773,0.319279291,0.047956414,0.01924972,Auburn,2018-'19,0.75,20.84,10.92,1097,2439,0.45,454,1204,0.377,540,760,0.711,457,1369,572,369,190,5,Midwest
4,0.139515601,0.193415456,0.184098385,0.451402333,0.009014873,0.006945378,0.015607974,Kentucky,2018-'19,0.811,21.43,10.29,978,2050,0.477,215,607,0.354,635,859,0.739,427,1428,501,220,176,4,Midwest
3,0.084850847,0.38823259,0.435765768,0.065108883,0.004040189,0.011356473,0.010645251,Houston,2018-'19,0.892,18.91,4.61,982,2203,0.446,333,939,0.355,490,697,0.703,448,1502,548,240,161,3,Midwest
3,0.059341194,0.255383452,0.433258962,0.123613777,0.096160521,0.019598094,0.012644,UNC,2018-'19,0.806,23.94,11.35,1118,2410,0.464,312,862,0.362,541,728,0.743,477,1589,678,252,120,3,Midwest
2,0.171967338,0.532313622,0.175607434,0.068950056,0.017822985,0.017765637,0.015572928,Kansas,2018-'19,0.722,18.35,12.79,989,2128,0.465,260,743,0.35,487,691,0.705,374,1376,478,243,139,2,Midwest
2,0.449741651,0.452406202,0.052869783,0.01176706,0.010478305,0.012123256,0.010613743,Ohio State,2018-'19,0.571,13.89,11,839,1931,0.434,264,774,0.341,477,650,0.734,328,1215,494,206,85,2,Midwest
2,0.285668352,0.459414246,0.086812808,0.031924039,0.075828728,0.012918358,0.047433469,Wofford,2018-'19,0.857,13.92,0.8,1044,2132,0.49,385,929,0.414,406,577,0.704,365,1232,528,233,105,2,Midwest
2,0.364007925,0.403366307,0.080302345,0.109284535,0.007910562,0.026745669,0.008382658,Iowa State,2018-'19,0.657,18.07,9.3,974,2047,0.476,294,811,0.363,450,615,0.732,327,1230,527,247,160,1,Midwest
1,0.555700503,0.308558122,0.057001964,0.026620119,0.008212062,0.040041961,0.003865268,Washington ,2018-'19,0.75,12.01,7.01,883,1956,0.451,273,780,0.35,472,679,0.695,334,1129,419,323,206,2,Midwest
1,0.81319787,0.083748057,0.016684467,0.022531547,0.033989478,0.024307879,0.005540702,Abilene Christian,2018-'19,0.794,-1.91,-7.34,897,1911,0.469,251,660,0.38,457,642,0.712,325,1110,525,297,93,1,Midwest
1,0.876211614,0.052939287,0.013635647,0.008603132,0.019850522,0.018509316,0.010250481,Georgia State,2018-'19,0.706,2.44,0.65,903,1968,0.459,330,859,0.384,462,694,0.666,273,1110,415,269,158,1,Midwest
1,0.914884679,0.053735122,0.014646427,0.0085369,0.001985568,0.003567063,0.002644242,Iona,2018-'19,0.515,-4.78,-5.5,857,1897,0.452,297,845,0.351,521,699,0.745,283,1152,432,223,90,1,Midwest
1,0.702632022,0.224194307,0.036218089,0.018686598,0.005599428,0.003384615,0.009284941,New Mexico State,2018-'19,0.857,10.05,-2.38,962,2092,0.46,326,977,0.334,484,714,0.678,445,1343,514,197,91,1,Midwest
1,0.926596946,0.029990429,0.012078198,0.00303136,0.007743518,0.002756796,0.017802753,Northeastern,2018-'19,0.676,3.95,-0.7,880,1848,0.476,328,858,0.382,476,634,0.751,237,1075,480,211,74,1,Midwest
1,0.677005422,0.285563233,0.015797325,0.011129039,0.005525385,0.002471858,0.002507739,Seton Hall,2018-'19,0.588,10.25,8.34,888,2021,0.439,240,741,0.324,492,697,0.706,361,1213,459,235,132,1,Midwest
1,0.616354916,0.219845619,0.092344057,0.034703907,0.020969104,0.004699471,0.011082926,Utah State,2018-'19,0.8,11.98,0.89,959,2038,0.471,274,772,0.355,559,747,0.748,377,1405,598,215,147,1,Midwest
3,0.054033048,0.225341181,0.424130463,0.151069923,0.080801484,0.021828977,0.042794924,Tennessee,2018-'19,0.838,21.55,10.16,1106,2231,0.496,262,714,0.367,561,744,0.754,379,1391,660,221,199,3,South
2,0.205710578,0.271508216,0.133911603,0.062402612,0.053584044,0.024178958,0.248703989,Virginia,2018-'19,0.921,25.46,10.15,974,2056,0.474,321,813,0.395,445,598,0.744,342,1326,544,211,149,7,South
2,0.071876097,0.385295324,0.284088576,0.201390806,0.01097699,0.014878616,0.031493591,Purdue,2018-'19,0.722,21.4,11.99,967,2145,0.451,365,977,0.374,461,641,0.719,421,1341,518,220,143,4,South
2,0.113295373,0.419617632,0.371048003,0.057472486,0.006150249,0.028168262,0.004247993,Oregon,2018-'19,0.658,13.95,6.13,958,2126,0.451,295,840,0.351,450,624,0.721,361,1307,501,290,162,3,South
2,0.319872949,0.518574978,0.066396314,0.077844487,0.006019705,0.006280005,0.005011562,Iowa,2018-'19,0.657,14.27,9.84,914,2006,0.456,285,782,0.364,627,849,0.739,357,1246,542,211,112,2,South
2,0.296366883,0.616791899,0.042094964,0.022214339,0.006458328,0.004671489,0.011402098,Villanova,2018-'19,0.722,14.33,7.97,884,2019,0.438,380,1081,0.352,506,695,0.728,368,1253,503,194,106,2,South
1,0.508289407,0.399325695,0.051116704,0.007587264,0.010639272,0.012287722,0.010753937,Oklahoma,2018-'19,0.588,15.3,12.21,883,1975,0.447,226,654,0.346,431,618,0.697,305,1263,430,203,102,2,South
1,0.471477187,0.3456911,0.153202274,0.013201189,0.00673833,0.0058264,0.003863521,UC-Irvine,2018-'19,0.838,5.7,-2.3,987,2159,0.457,252,701,0.359,449,640,0.702,429,1471,479,210,153,2,South
1,0.711305489,0.221803223,0.049146718,0.006164195,0.005164956,0.003185821,0.003229599,Cincinnati,2018-'19,0.8,14.53,5.5,872,2018,0.432,232,673,0.345,534,758,0.704,442,1264,466,214,155,1,South
1,0.869715147,0.07733617,0.020132385,0.006743554,0.014260244,0.005073456,0.006739045,Colgate,2018-'19,0.686,1.23,-3.83,955,1995,0.479,320,815,0.393,418,563,0.742,322,1240,541,213,121,1,South
1,0.867934783,0.066595329,0.012353382,0.018943076,0.01993951,0.006080062,0.008153858,Gardner-Webb,2018-'19,0.657,-2.61,-4.43,955,1962,0.487,281,719,0.391,527,741,0.711,271,1190,502,238,101,1,South
1,0.676878898,0.204665925,0.046338932,0.020302323,0.008168168,0.039804301,0.003841453,Kansas State,2018-'19,0.735,15.39,9.18,806,1878,0.429,241,721,0.334,383,574,0.667,325,1137,464,256,76,1,South
1,0.816090474,0.144205443,0.023808382,0.007657448,0.004440555,0.001781044,0.002016656,Old Dominion,2018-'19,0.743,3.74,-1.18,823,2026,0.406,264,756,0.349,388,585,0.663,418,1365,439,197,160,1,South
1,0.63165711,0.233476081,0.083974128,0.029025126,0.005123718,0.00960069,0.007143147,Ole Miss,2018-'19,0.606,12.32,8.13,876,1906,0.46,272,760,0.358,461,589,0.783,322,1128,475,235,118,1,South
1,0.859543666,0.090108378,0.021204435,0.005326056,0.01467882,0.004835022,0.004303624,Saint Mary's,2018-'19,0.647,12.58,4.4,899,1905,0.472,253,670,0.378,412,555,0.742,329,1180,341,201,87,1,South
1,0.721321801,0.189736363,0.039390268,0.012013921,0.009209025,0.018983322,0.009345299,Wisconsin,2018-'19,0.676,17.9,11.01,874,1945,0.449,241,672,0.359,344,531,0.648,283,1197,430,177,140,1,South
6,0.079632241,0.182432047,0.301093807,0.11472408,0.009993259,0.306744709,0.005379857,Texas Tech,2018-'19,0.816,22.79,9.53,990,2110,0.469,277,759,0.365,508,694,0.732,315,1297,518,278,186,6,West
4,0.077889706,0.128969125,0.308505551,0.389322109,0.031415739,0.052713529,0.011184241,Gonzaga,2018-'19,0.892,27.79,5.01,1177,2239,0.526,287,790,0.363,602,791,0.761,354,1443,668,278,204,4,West
3,0.088053436,0.156103641,0.517078599,0.164349586,0.011230769,0.043643255,0.019540714,Florida State,2018-'19,0.784,17.99,10.26,960,2171,0.442,272,819,0.332,579,778,0.744,418,1391,475,266,161,3,West
3,0.080606335,0.380076671,0.405680854,0.068765462,0.014489895,0.033739831,0.016640953,Michigan,2018-'19,0.811,21.82,10.55,941,2102,0.448,287,839,0.342,406,579,0.701,299,1307,512,225,149,3,West
2,0.409392923,0.495766674,0.071468571,0.008863544,0.00691057,0.003775446,0.003822272,Baylor,2018-'19,0.588,13.38,9.26,869,1966,0.442,274,803,0.341,430,635,0.677,450,1281,473,209,159,2,West
2,0.131980867,0.286058415,0.230933696,0.245458495,0.047284616,0.04467492,0.013608991,Buffalo,2018-'19,0.889,15.56,2.62,1083,2344,0.462,344,1022,0.337,527,767,0.687,452,1470,599,263,140,2,West
1,0.532447345,0.370604591,0.033679868,0.024575147,0.012795469,0.016058641,0.00983894,Florida,2018-'19,0.556,15.42,11.22,857,2015,0.425,291,872,0.334,435,603,0.721,375,1201,437,257,131,2,West
1,0.584031869,0.331455649,0.01793486,0.03169362,0.026443733,0.003267341,0.005172927,Murray State,2018-'19,0.848,8.96,-3.11,988,2007,0.492,258,731,0.353,493,673,0.733,351,1247,591,249,149,2,West
1,0.830617126,0.114533546,0.017379454,0.028607544,0.004527554,0.002035124,0.002299652,Arizona State,2018-'19,0.676,10.28,6.04,899,2012,0.447,240,714,0.336,600,882,0.68,399,1351,459,213,109,1,West
1,0.929511692,0.055574224,0.00670744,0.002121453,0.002282554,0.002768724,0.001033912,Fairleigh Dickinson,2018-'19,0.29,-10.2,-7.14,761,1755,0.434,259,740,0.35,291,420,0.693,273,968,401,202,63,1,West
1,0.754583527,0.133752146,0.059628267,0.008689903,0.019743623,0.008500473,0.015102061,Marquette,2018-'19,0.706,14.78,6.96,893,1969,0.454,319,822,0.388,524,692,0.757,331,1292,456,168,145,1,West
1,0.868825377,0.082292308,0.014140482,0.020871551,0.00354876,0.006634053,0.003687468,Montana,2018-'19,0.743,1.5,-5.05,975,1983,0.492,287,763,0.376,428,621,0.689,293,1176,510,229,106,1,West
1,0.714644701,0.210933485,0.02637878,0.026994969,0.004793118,0.011830188,0.004424759,Nevada,2018-'19,0.853,16,2.68,924,1999,0.462,297,855,0.347,578,816,0.708,325,1274,498,211,134,1,West
1,0.802957923,0.161283322,0.01093521,0.00608863,0.011569558,0.002786826,0.004378531,Northern Kentucky,2018-'19,0.743,4.67,-2.39,979,2047,0.478,306,844,0.363,483,725,0.666,364,1298,592,218,139,1,West
1,0.597835243,0.26817034,0.063052435,0.022022216,0.016184776,0.020284678,0.012450312,Syracuse,2018-'19,0.588,13.73,10.09,808,1907,0.424,274,824,0.333,480,701,0.685,363,1174,408,278,162,1,West
1,0.93307926,0.045214631,0.011412066,0.003180541,0.002270936,0.002779351,0.002063215,Vermont,2018-'19,0.794,4.88,-4.18,864,1887,0.458,273,761,0.359,507,678,0.748,304,1194,399,188,136,1,West
