predict,p1,p2,p3,p4,p5,p6,p7,School Name,Year of Tour,W-L%,SRS,SOS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,Round Reached,Region
5,5.19E-09,0.019437127,0.231629823,0.034965183,0.711134952,2.44E-05,0.002808512,Michigan State,2018-'19,0.821,24.93,12.34,1071,2230,0.48,319,844,0.378,564,749,0.753,414,1579,715,201,205,5,East
4,2.83E-12,6.03E-07,7.01E-04,0.999084765,2.04E-06,2.11E-04,3.02E-11,Duke,2018-'19,0.842,26.9,11.98,1157,2418,0.478,278,903,0.308,551,803,0.686,495,1567,606,346,257,4,East
4,0.055870993,0.065648752,6.77E-04,0.875207912,1.15E-04,0.002394572,8.55E-05,Mississippi State,2018-'19,0.676,15.96,9.07,936,1982,0.472,292,774,0.377,464,647,0.717,393,1215,481,274,172,1,East
3,6.73E-05,3.96E-04,0.699246071,0.300267851,3.35E-09,2.25E-05,1.86E-09,LSU,2018-'19,0.8,16.5,9.16,988,2162,0.457,236,740,0.319,603,802,0.752,460,1355,452,308,148,3,East
3,0.03531741,0.23508714,0.579604732,0.131063044,0.007583519,6.74E-06,0.01133742,Virginia Tech,2018-'19,0.743,19.28,7.79,893,1900,0.47,327,831,0.394,461,606,0.761,310,1142,531,236,78,3,East
2,0.019627941,0.980330474,4.09E-05,5.90E-08,5.93E-08,3.57E-10,5.66E-07,Liberty,2018-'19,0.806,5.27,-3.88,963,1977,0.487,322,873,0.369,406,524,0.775,270,1174,532,223,96,2,East
2,0.002575888,0.997265571,1.36E-04,2.21E-05,7.20E-11,1.34E-09,1.35E-13,Minnesota,2018-'19,0.611,12.52,11.27,887,2039,0.435,191,603,0.317,578,848,0.682,402,1314,523,175,140,2,East
2,0.003506036,0.99628356,2.10E-04,2.97E-08,1.15E-12,2.66E-11,8.27E-07,Maryland,2018-'19,0.676,16.01,10.09,858,1909,0.449,247,707,0.349,466,627,0.743,378,1336,447,148,163,2,East
2,0.060163593,0.939798215,3.67E-05,1.06E-06,8.84E-13,7.76E-12,4.77E-07,Louisville,2018-'19,0.588,17.28,11.04,854,1967,0.434,294,860,0.342,534,687,0.777,345,1297,458,149,99,1,East
2,0.014470645,0.985528806,4.41E-07,1.04E-07,4.86E-09,5.97E-10,3.72E-11,UCF,2018-'19,0.727,13.37,5.58,819,1763,0.465,229,628,0.365,518,798,0.649,315,1215,439,189,150,2,East
1,0.678723832,0.32070359,6.89E-05,1.64E-05,4.77E-04,8.44E-06,1.45E-06,Belmont,2018-'19,0.818,9.12,-2.6,1042,2094,0.498,343,922,0.372,441,598,0.737,286,1275,645,220,125,1,East
1,0.990162863,0.009836567,5.35E-07,2.33E-10,1.15E-08,1.90E-11,2.29E-08,Yale,2018-'19,0.733,5.52,-1.24,893,1812,0.493,230,634,0.363,411,557,0.738,259,1157,503,177,131,1,East
1,0.999976359,2.36E-05,9.04E-09,5.69E-13,6.61E-16,7.52E-15,4.11E-11,North Dakota State,2018-'19,0.543,-4.01,-2.07,874,1926,0.454,332,910,0.365,476,613,0.777,229,1105,402,160,87,1,East
1,0.994937923,0.004604988,3.89E-04,6.85E-05,6.44E-10,1.30E-08,2.73E-16,Saint Louis,2018-'19,0.639,5.06,2.23,855,2052,0.417,205,675,0.304,484,809,0.598,492,1428,460,254,145,1,East
1,0.999484212,4.74E-05,2.41E-04,2.27E-04,6.79E-16,4.18E-10,7.34E-16,VCU,2018-'19,820,1872,0.438,820,1872,0.438,235,771,0.305,469,669,0.701,358,1208,450,263,148,1,East
1,0.999643514,3.56E-04,2.27E-08,8.14E-13,6.52E-13,3.64E-13,2.60E-13,Bradley,2018-'19,0.571,-0.08,-0.9,812,1874,0.433,240,653,0.368,465,672,0.692,313,1195,423,186,132,1,East
5,2.11E-11,0.006140839,8.75E-05,0.089920901,0.899325931,0.004324023,2.01E-04,Auburn,2018-'19,0.75,20.84,10.92,1097,2439,0.45,454,1204,0.377,540,760,0.711,457,1369,572,369,190,5,Midwest
4,2.40E-05,0.005645409,0.158097732,0.836232218,8.14E-08,4.15E-07,1.12E-07,Kentucky,2018-'19,0.811,21.43,10.29,978,2050,0.477,215,607,0.354,635,859,0.739,427,1428,501,220,176,4,Midwest
3,1.91E-10,0.095127564,0.898838991,0.002735757,0.002887001,5.37E-05,3.57E-04,UNC,2018-'19,0.806,23.94,11.35,1118,2410,0.464,312,862,0.362,541,728,0.743,477,1589,678,252,120,3,Midwest
3,4.76E-05,0.178400917,0.533695827,0.258639758,5.33E-05,0.029092627,7.00E-05,Kansas,2018-'19,0.722,18.35,12.79,989,2128,0.465,260,743,0.35,487,691,0.705,374,1376,478,243,139,2,Midwest
2,0.009348954,0.987620514,7.74E-04,3.39E-04,0.001302259,7.40E-06,6.08E-04,Wofford,2018-'19,0.857,13.92,0.8,1044,2132,0.49,385,929,0.414,406,577,0.704,365,1232,528,233,105,2,Midwest
2,3.43E-06,0.79084843,0.206663906,0.002453063,2.44E-05,4.16E-06,2.59E-06,Houston,2018-'19,0.892,18.91,4.61,982,2203,0.446,333,939,0.355,490,697,0.703,448,1502,548,240,161,3,Midwest
2,0.10754564,0.40539087,0.042608955,0.272197101,0.003237718,0.166780245,0.002239471,Iowa State,2018-'19,0.657,18.07,9.3,974,2047,0.476,294,811,0.363,450,615,0.732,327,1230,527,247,160,1,Midwest
2,0.264943004,0.725198374,0.009366144,4.91E-04,1.66E-06,4.38E-08,2.02E-07,Utah State,2018-'19,0.8,11.98,0.89,959,2038,0.471,274,772,0.355,559,747,0.748,377,1405,598,215,147,1,Midwest
2,0.001899008,0.949340897,2.07E-04,0.041547317,3.41E-06,0.007002781,6.28E-09,Washington ,2018-'19,0.75,12.01,7.01,883,1956,0.451,273,780,0.35,472,679,0.695,334,1129,419,323,206,2,Midwest
2,0.001372722,0.998566332,3.92E-05,2.18E-05,4.43E-10,3.99E-10,1.02E-08,Ohio State,2018-'19,0.571,13.89,11,839,1931,0.434,264,774,0.341,477,650,0.734,328,1215,494,206,85,2,Midwest
