predict,p1,p2,p3,p4,p5,p6,p7,School Name,Year of Tour,W-L%,SRS,SOS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,Round Reached,Region
1,0.989556457,0.01044353,9.30E-10,1.29E-08,1.21E-14,4.70E-14,6.28E-15,New Mexico State,2018-'19,0.857,10.05,-2.38,962,2092,0.46,326,977,0.334,484,714,0.678,445,1343,514,197,91,1,Midwest
1,0.988179848,0.0114492,1.12E-05,5.27E-05,7.73E-07,3.06E-04,8.30E-10,Georgia State,2018-'19,0.706,2.44,0.65,903,1968,0.459,330,859,0.384,462,694,0.666,273,1110,415,269,158,1,Midwest
1,0.918925291,0.081017031,9.81E-07,1.18E-05,4.49E-05,1.03E-09,1.26E-11,Abilene Christian,2018-'19,0.794,-1.91,-7.34,897,1911,0.469,251,660,0.38,457,642,0.712,325,1110,525,297,93,1,Midwest
1,0.680522826,0.31808193,5.55E-04,8.40E-04,2.78E-09,2.83E-07,1.32E-10,Seton Hall,2018-'19,0.588,10.25,8.34,888,2021,0.439,240,741,0.324,492,697,0.706,361,1213,459,235,132,1,Midwest
1,0.998671805,0.001312073,1.58E-05,2.95E-07,2.70E-08,2.59E-10,8.30E-09,Northeastern,2018-'19,0.676,3.95,-0.7,880,1848,0.476,328,858,0.382,476,634,0.751,237,1075,480,211,74,1,Midwest
1,0.999978477,2.15E-05,7.55E-10,4.65E-11,2.72E-14,6.22E-14,2.61E-14,Iona,2018-'19,0.515,-4.78,-5.5,857,1897,0.452,297,845,0.351,521,699,0.745,283,1152,432,223,90,1,Midwest
7,1.25E-04,0.003501043,0.071460502,4.36E-04,0.001285534,1.40E-04,0.923053104,Virginia,2018-'19,0.921,25.46,10.15,974,2056,0.474,321,813,0.395,445,598,0.744,342,1326,544,211,149,7,South
4,1.22E-06,0.169253444,0.001455103,0.826502758,6.12E-05,4.81E-06,0.002721514,Purdue,2018-'19,0.722,21.4,11.99,967,2145,0.451,365,977,0.374,461,641,0.719,421,1341,518,220,143,4,South
3,2.49E-05,0.015794834,0.859532242,0.119844702,0.002853174,0.001820101,1.30E-04,Tennessee,2018-'19,0.838,21.55,10.16,1106,2231,0.496,262,714,0.367,561,744,0.754,379,1391,660,221,199,3,South
2,0.029982838,0.959316618,0.010700496,7.10E-09,2.41E-09,1.31E-08,2.59E-08,UC-Irvine,2018-'19,0.838,5.7,-2.3,987,2159,0.457,252,701,0.359,449,640,0.702,429,1471,479,210,153,2,South
2,1.01E-04,0.528295626,0.363598368,0.058538943,6.91E-04,0.048769099,6.36E-06,Oregon,2018-'19,0.658,13.95,6.13,958,2126,0.451,295,840,0.351,450,624,0.721,361,1307,501,290,162,3,South
2,0.005739938,0.991557,2.74E-05,0.002675623,2.27E-08,2.52E-08,2.62E-09,Iowa,2018-'19,0.657,14.27,9.84,914,2006,0.456,285,782,0.364,627,849,0.739,357,1246,542,211,112,2,South
2,1.03E-04,0.999837139,3.13E-07,5.97E-05,4.23E-12,2.64E-11,4.06E-09,Villanova,2018-'19,0.722,14.33,7.97,884,2019,0.438,380,1081,0.352,506,695,0.728,368,1253,503,194,106,2,South
2,0.002087212,0.995218942,0.002689013,3.22E-06,3.01E-08,9.38E-07,6.46E-07,Oklahoma,2018-'19,0.588,15.3,12.21,883,1975,0.447,226,654,0.346,431,618,0.697,305,1263,430,203,102,2,South
2,0.303174043,0.674397695,0.020558839,0.001749259,1.34E-07,1.02E-07,1.20E-04,Ole Miss,2018-'19,0.606,12.32,8.13,876,1906,0.46,272,760,0.358,461,589,0.783,322,1128,475,235,118,1,South
1,0.601919069,0.397950865,1.22E-04,2.72E-08,2.26E-06,3.30E-09,5.80E-06,Colgate,2018-'19,0.686,1.23,-3.83,955,1995,0.479,320,815,0.393,418,563,0.742,322,1240,541,213,121,1,South
1,0.999856541,1.41E-04,6.14E-07,1.48E-08,1.63E-06,2.79E-09,5.27E-11,Gardner-Webb,2018-'19,0.657,-2.61,-4.43,955,1962,0.487,281,719,0.391,527,741,0.711,271,1190,502,238,101,1,South
1,0.997658747,0.002324441,1.50E-05,1.73E-09,1.86E-11,1.73E-11,1.81E-06,Saint Mary's,2018-'19,0.647,12.58,4.4,899,1905,0.472,253,670,0.378,412,555,0.742,329,1180,341,201,87,1,South
1,0.965769089,0.034094588,1.17E-04,1.65E-07,1.26E-07,1.85E-05,5.44E-07,Wisconsin,2018-'19,0.676,17.9,11.01,874,1945,0.449,241,672,0.359,344,531,0.648,283,1197,430,177,140,1,South
1,0.600699951,0.399267954,2.44E-05,7.67E-06,1.84E-11,2.77E-10,4.08E-12,Cincinnati,2018-'19,0.8,14.53,5.5,872,2018,0.432,232,673,0.345,534,758,0.704,442,1264,466,214,155,1,South
1,0.925903401,0.073939731,1.57E-04,9.05E-10,2.47E-11,7.59E-11,4.07E-12,Old Dominion,2018-'19,0.743,3.74,-1.18,823,2026,0.406,264,756,0.349,388,585,0.663,418,1365,439,197,160,1,South
1,0.558703415,0.430286359,2.03E-05,0.01098888,9.87E-07,9.91E-08,1.99E-10,Kansas State,2018-'19,0.735,15.39,9.18,806,1878,0.429,241,721,0.334,383,574,0.667,325,1137,464,256,76,1,South
6,4.23E-06,6.08E-04,0.022674606,0.011120552,7.15E-04,0.964860453,1.68E-05,Texas Tech,2018-'19,0.816,22.79,9.53,990,2110,0.469,277,759,0.365,508,694,0.732,315,1297,518,278,186,6,West
4,1.02E-06,2.80E-05,0.007638505,0.991883386,1.00E-04,3.48E-04,9.25E-07,Gonzaga,2018-'19,0.892,27.79,5.01,1177,2239,0.526,287,790,0.363,602,791,0.761,354,1443,668,278,204,4,West
3,2.97E-06,0.004717483,0.971494601,0.023758458,2.79E-08,2.64E-05,6.30E-08,Florida State,2018-'19,0.784,17.99,10.26,960,2171,0.442,272,819,0.332,579,778,0.744,418,1391,475,266,161,3,West
3,9.99E-04,0.382373924,0.559725533,0.001268025,1.67E-04,0.0554233,4.33E-05,Michigan,2018-'19,0.811,21.82,10.55,941,2102,0.448,287,839,0.342,406,579,0.701,299,1307,512,225,149,3,West
2,9.09E-05,0.982252536,0.007166128,0.010385904,2.37E-05,8.08E-05,7.84E-09,Buffalo,2018-'19,0.889,15.56,2.62,1083,2344,0.462,344,1022,0.337,527,767,0.687,452,1470,599,263,140,2,West
2,0.052696779,0.947275107,3.51E-06,2.36E-05,1.03E-06,1.49E-08,3.88E-10,Murray State,2018-'19,0.848,8.96,-3.11,988,2007,0.492,258,731,0.353,493,673,0.733,351,1247,591,249,149,2,West
2,0.003413501,0.996413381,3.58E-06,1.70E-04,7.29E-11,4.18E-10,2.39E-10,Baylor,2018-'19,0.588,13.38,9.26,869,1966,0.442,274,803,0.341,430,635,0.677,450,1281,473,209,159,2,West
2,6.70E-04,0.995436684,5.48E-04,0.003345544,4.79E-09,1.96E-07,3.26E-08,Florida,2018-'19,0.556,15.42,11.22,857,2015,0.425,291,872,0.334,435,603,0.721,375,1201,437,257,131,2,West
2,0.093887552,0.818640261,1.44E-04,0.087317457,1.54E-08,1.11E-05,2.55E-10,Syracuse,2018-'19,0.588,13.73,10.09,808,1907,0.424,274,824,0.333,480,701,0.685,363,1174,408,278,162,1,West
1,0.994032224,0.005966032,6.50E-08,1.58E-06,8.39E-08,1.02E-08,9.28E-13,Northern Kentucky,2018-'19,0.743,4.67,-2.39,979,2047,0.478,306,844,0.363,483,725,0.666,364,1298,592,218,139,1,West
1,0.996799469,0.003200276,2.50E-08,6.52E-09,2.22E-07,9.53E-10,3.42E-11,Montana,2018-'19,0.743,1.5,-5.05,975,1983,0.492,287,763,0.376,428,621,0.689,293,1176,510,229,106,1,West
1,0.989493779,0.010496294,1.62E-06,8.29E-06,7.88E-11,1.12E-08,5.13E-12,Nevada,2018-'19,0.853,16,2.68,924,1999,0.462,297,855,0.347,578,816,0.708,325,1274,498,211,134,1,West
1,0.9368993,0.062959149,5.18E-05,8.97E-05,1.09E-10,1.29E-08,7.37E-13,Arizona State,2018-'19,0.676,10.28,6.04,899,2012,0.447,240,714,0.336,600,882,0.68,399,1351,459,213,109,1,West
1,0.927657014,0.06757506,0.00450324,1.30E-06,3.80E-09,1.20E-08,2.63E-04,Marquette,2018-'19,0.706,14.78,6.96,893,1969,0.454,319,822,0.388,524,692,0.757,331,1292,456,168,145,1,West
1,0.999992105,7.89E-06,7.94E-10,1.75E-13,8.58E-16,9.18E-15,6.86E-13,Vermont,2018-'19,0.794,4.88,-4.18,864,1887,0.458,273,761,0.359,507,678,0.748,304,1194,399,188,136,1,West
1,0.99986855,1.31E-04,1.12E-11,9.10E-13,5.38E-14,1.13E-17,3.83E-15,Fairleigh Dickinson,2018-'19,0.29,-10.2,-7.14,761,1755,0.434,259,740,0.35,291,420,0.693,273,968,401,202,63,1,West
