School Name,Year of Tour,W-L%,SRS,SOS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,Round Reached,Region
Louisville,2018-'19,0.588,17.28,11.04,854,1967,0.434,294,860,0.342,534,687,0.777,345,1297,458,149,99,1,East
Marquette,2018-'19,0.706,14.78,6.96,893,1969,0.454,319,822,0.388,524,692,0.757,331,1292,456,168,145,1,West
Mississippi State,2018-'19,0.676,15.96,9.07,936,1982,0.472,292,774,0.377,464,647,0.717,393,1215,481,274,172,1,East
Montana,2018-'19,0.743,1.5,-5.05,975,1983,0.492,287,763,0.376,428,621,0.689,293,1176,510,229,106,1,West
Nevada,2018-'19,0.853,16,2.68,924,1999,0.462,297,855,0.347,578,816,0.708,325,1274,498,211,134,1,West
New Mexico State,2018-'19,0.857,10.05,-2.38,962,2092,0.46,326,977,0.334,484,714,0.678,445,1343,514,197,91,1,Midwest
North Dakota State,2018-'19,0.543,-4.01,-2.07,874,1926,0.454,332,910,0.365,476,613,0.777,229,1105,402,160,87,1,East
Northeastern,2018-'19,0.676,3.95,-0.7,880,1848,0.476,328,858,0.382,476,634,0.751,237,1075,480,211,74,1,Midwest
Northern Kentucky,2018-'19,0.743,4.67,-2.39,979,2047,0.478,306,844,0.363,483,725,0.666,364,1298,592,218,139,1,West
Old Dominion,2018-'19,0.743,3.74,-1.18,823,2026,0.406,264,756,0.349,388,585,0.663,418,1365,439,197,160,1,South
Ole Miss,2018-'19,0.606,12.32,8.13,876,1906,0.46,272,760,0.358,461,589,0.783,322,1128,475,235,118,1,South
Saint Louis,2018-'19,0.639,5.06,2.23,855,2052,0.417,205,675,0.304,484,809,0.598,492,1428,460,254,145,1,East
Saint Mary's,2018-'19,0.647,12.58,4.4,899,1905,0.472,253,670,0.378,412,555,0.742,329,1180,341,201,87,1,South
Seton Hall,2018-'19,0.588,10.25,8.34,888,2021,0.439,240,741,0.324,492,697,0.706,361,1213,459,235,132,1,Midwest
Syracuse,2018-'19,0.588,13.73,10.09,808,1907,0.424,274,824,0.333,480,701,0.685,363,1174,408,278,162,1,West
Utah State,2018-'19,0.8,11.98,0.89,959,2038,0.471,274,772,0.355,559,747,0.748,377,1405,598,215,147,1,Midwest
VCU,2018-'19,820,1872,0.438,820,1872,0.438,235,771,0.305,469,669,0.701,358,1208,450,263,148,1,East
Vermont,2018-'19,0.794,4.88,-4.18,864,1887,0.458,273,761,0.359,507,678,0.748,304,1194,399,188,136,1,West
Wisconsin,2018-'19,0.676,17.9,11.01,874,1945,0.449,241,672,0.359,344,531,0.648,283,1197,430,177,140,1,South
Yale,2018-'19,0.733,5.52,-1.24,893,1812,0.493,230,634,0.363,411,557,0.738,259,1157,503,177,131,1,East
